"","Year","Region","Region_alt","Region_type","Strata_included","Strata_excluded","Index","Index_q_0.025","Index_q_0.05","Index_q_0.25","Index_q_0.75","Index_q_0.95","Index_q_0.975","obs_mean","nrts","nnzero","nrts_total","backcast_flag","scale","model","species"
"58",1967,"BCR11","BCR_BCR11","bcr","48_-96 ; 49_-96 ; 50_-100","",0.0191379540015733,0.00236309772077023,0.00329630420414002,0.00956831461585017,0.0372211777897195,0.102116977237701,0.135184423671305,0,0,0,5,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"59",1968,"BCR11","BCR_BCR11","bcr","48_-96 ; 49_-96 ; 50_-100","",0.0156304063356928,0.00199759023633793,0.00281112078030148,0.00796028413859405,0.0303615241267181,0.0782335937611318,0.104570305989907,0,0,0,5,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"60",1969,"BCR11","BCR_BCR11","bcr","48_-96 ; 49_-96 ; 50_-100","",0.0129777324921402,0.00175755010720677,0.00253206767158335,0.00684477569565229,0.0249097459262387,0.0606668323938184,0.0828051550088093,0,0,0,5,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"61",1970,"BCR11","BCR_BCR11","bcr","48_-96 ; 49_-96 ; 50_-100","",0.0175589205032483,0.0023403798759142,0.00337962921499184,0.00909257940876433,0.032606199068568,0.0786645827693201,0.105389501962793,0,0,0,5,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"62",1971,"BCR11","BCR_BCR11","bcr","48_-96 ; 49_-96 ; 50_-100","",0.0155638803801569,0.00225841803955611,0.00317645518988892,0.00830932874003728,0.0290116470167891,0.0682834404303405,0.0887683151151905,0,0,0,5,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"63",1972,"BCR11","BCR_BCR11","bcr","48_-96 ; 49_-96 ; 50_-100","",0.0119875043235258,0.00182391016250981,0.0025038450178215,0.00649591454417435,0.0217571719283609,0.0491117931880929,0.065190639302759,0,0,0,5,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"64",1973,"BCR11","BCR_BCR11","bcr","48_-96 ; 49_-96 ; 50_-100","",0.0122081027551621,0.00196355793839335,0.00268067061813787,0.00672917667967977,0.0218738634501815,0.0497244219041378,0.0638015145010698,0,0,0,5,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"65",1974,"BCR11","BCR_BCR11","bcr","48_-96 ; 49_-96 ; 50_-100","",0.0142869506647818,0.00238143877206687,0.00328646001597938,0.00809433062646493,0.0255873554803491,0.0567674806359271,0.0728647012097748,0,0,0,5,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"66",1975,"BCR11","BCR_BCR11","bcr","48_-96 ; 49_-96 ; 50_-100","",0.0167765356452704,0.00293174215017766,0.00402494466221002,0.00935752496136787,0.0293837163408282,0.0633852688884565,0.0819466289711179,0,0,0,5,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"67",1976,"BCR11","BCR_BCR11","bcr","48_-96 ; 49_-96 ; 50_-100","",0.0134359923430285,0.00240801058359612,0.00326936733681817,0.00750371029712581,0.0226213632128395,0.0485061468336832,0.061594321112965,0,0,0,5,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
